,in_play,result,status,toss,home_scores,away_scores,match_id,series_id,home
in_play,No,Yes,Oman won by 10 wkts (38b rem),"Oman, elected to field first","131/0 (13.4/20 ov, target 130)",129/9,2547437,894,Oman
in_play,No,Yes,Scotland won by 6 runs,"Bangladesh, elected to field first","134/7 (20 ov, target 141)",140/9,2547439,894,Bangladesh
in_play,No,Yes,Ireland won by 7 wkts (29b rem),"Netherlands, elected to bat first","107/3 (15.1/20 ov, target 107)",106,2547441,894,Ireland
in_play,No,Yes,Sri Lanka won by 7 wkts (39b rem),"Sri Lanka, elected to field first",96,"100/3 (13.3/20 ov, target 97)",2547443,894,Namibia
in_play,No,Yes,Scotland won by 17 runs,"Scotland, elected to bat first","148/10 (19.3/20 ov, target 166)",165/9,2547445,894,Papua New Guinea
in_play,No,Yes,Bangladesh won by 26 runs,"Bangladesh, elected to bat first","127/9 (20 ov, target 154)",153,2547447,894,Oman
in_play,No,Yes,Namibia won by 6 wkts (6b rem),"Namibia, elected to field first","166/4 (18.6/20 ov, target 165)",164/4,2547449,894,Namibia
in_play,No,Yes,Sri Lanka won by 70 runs,"Ireland, elected to field first","101 (18.3/20 ov, target 172)",171/7,2547451,894,Ireland
in_play,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",2547453,894,Bangladesh
in_play,No,Yes,Scotland won by 8 wkts (18b rem),"Oman, elected to bat first",122,"123/2 (16.6/20 ov, target 123)",2547455,894,Oman
